Place,Rating
Apola Gyro Grill,4.5 star rating
Pokenoya,4.5 star rating
Falasophy Food Truck,4.5 star rating
Biryani Pot Express,4.0 star rating
Wood Ranch BBQ & Grill,3.5 star rating
Tender Greens,4.0 star rating
La Sirena Grill,4.0 star rating
Lazy Dog Restaurant & Bar,3.5 star rating
Crazy Rock’N Sushi,4.0 star rating
G Burger - Irvine,4.0 star rating
Pho Saigon Pearl,3.5 star rating
Din Tai Fung,4.0 star rating
TRADE,4.0 star rating
Paul Martin’s American Grill,3.5 star rating
House of Shabu Shabu,3.5 star rating
Chef Hung Taiwanese Beef Noodle,3.0 star rating
Pho Saigon Pearl,3.5 star rating
The Hungry Royal,5.0 star rating
TAPS Fish House & Brewery,3.5 star rating
Curry House,3.5 star rating
Wildfish Seafood Grille & Steaks,4.5 star rating
H2O Poke & Grill,4.0 star rating
Tupelo Junction Cafe,5.0 star rating
Luna Grill - Irvine Spectrum Center,4.0 star rating
BBQ Chicken,3.0 star rating
Ironwood Cellar Craft Cook,4.5 star rating
nFuse Restaurant| Bar & Lounge,4.0 star rating
Chapter One: the modern local,3.5 star rating
The Burnt Truck,4.5 star rating
Fresh Brothers,4.0 star rating
Pho Saigon Pearl,3.5 star rating
Tender Greens,4.0 star rating
TAPS Fish House & Brewery,3.5 star rating
Curry House,3.5 star rating
Urban Plates,4.0 star rating
The Hungry Royal,5.0 star rating
Pokenoya,4.5 star rating
In-N-Out Burger,4.5 star rating
Ritter’s Steam Kettle Cooking,4.0 star rating
The Kickin’ Crab,3.5 star rating
Pub Thirty Two,4.0 star rating
Yushoken Izakaya & Ramen,3.0 star rating
Centro Collective,4.5 star rating
The Deck on Laguna Beach,4.0 star rating
Hashigo Korean Kitchen,4.0 star rating
O Fine Japanese Cuisine,4.0 star rating
Urban Plates,4.0 star rating
Chong Qing Mei Wei Szechuan Restaurant,3.5 star rating
Yushoken Izakaya & Ramen,3.0 star rating
Eats Kitchen & Bar,4.0 star rating
Tupelo Junction Cafe,5.0 star rating
K Pop Sushi,4.5 star rating
Popcorn Chicken,3.5 star rating
Yu’s Garden,3.5 star rating
DonerG Turkish & Mediterranean Grill - Irvine,3.5 star rating
MOD Pizza,4.0 star rating
Fresh Brothers,4.0 star rating
Chronic Tacos,3.5 star rating
Thai Kitchen,3.5 star rating
Luna Grill - Irvine Spectrum Center,4.0 star rating
Irvine Cafe,4.0 star rating
Veggie Grill,4.0 star rating
Cambalache Grill,5.0 star rating
Crazy Rock’N Sushi,4.0 star rating
Honey Pig BBQ,3.0 star rating
Lola Gaspar,4.0 star rating
101 Noodle Express,3.5 star rating
SideDoor,4.0 star rating
O Fine Japanese Cuisine,4.0 star rating
Capital Seafood Restaurant,3.0 star rating
Wildfish Seafood Grille & Steaks,4.5 star rating
Hashigo Korean Kitchen,4.0 star rating
Playground 2.0,5.0 star rating
Pieology Pizzeria,4.0 star rating
Dos Chinos,3.5 star rating
Lola Gaspar,4.0 star rating
Spicy Addiction,3.5 star rating
Kabuki Japanese Restaurant,3.5 star rating
Habuya Okinawan Dining,4.0 star rating
Anthill Pub & Grille,4.0 star rating
Ironwood Cellar Craft Cook,4.5 star rating
Blaze Fast-Fire’d Pizza,4.0 star rating
